code,slug,title,category,category_code,teer,teer_desc,median_pay_annual,median_pay_hourly,low_pay_hourly,high_pay_hourly
94200,motor-vehicle-assemblers-inspectors-and-testers,"Motor vehicle assemblers, inspectors and testers",Occupations in manufacturing and utilities,9,4,On-the-job training,67579,32.49,21.89,42.35
94201,electronics-assemblers-fabricators-inspectors-and-testers,"Electronics assemblers, fabricators, inspectors and testers",Occupations in manufacturing and utilities,9,4,On-the-job training,43576,20.95,17.0,29.47
94202,assemblers-and-inspectors-electrical-appliance-apparatus-and-equipment-manufactu,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",Occupations in manufacturing and utilities,9,4,On-the-job training,46404,22.31,16.0,36.25
94203,assemblers-fabricators-and-inspectors-industrial-electrical-motors-and-transform,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers",Occupations in manufacturing and utilities,9,4,On-the-job training,47216,22.7,18.0,38.0
94204,mechanical-assemblers-and-inspectors,Mechanical assemblers and inspectors,Occupations in manufacturing and utilities,9,4,On-the-job training,54080,26.0,20.0,37.99
94205,machine-operators-and-inspectors-electrical-apparatus-manufacturing,"Machine operators and inspectors, electrical apparatus manufacturing",Occupations in manufacturing and utilities,9,4,On-the-job training,45760,22.0,17.5,29.89
94210,furniture-and-fixture-assemblers-finishers-refinishers-and-inspectors,"Furniture and fixture assemblers, finishers, refinishers and inspectors",Occupations in manufacturing and utilities,9,4,On-the-job training,47403,22.79,17.0,30.0
94211,assemblers-and-inspectors-of-other-wood-products,Assemblers and inspectors of other wood products,Occupations in manufacturing and utilities,9,4,On-the-job training,46196,22.21,17.5,29.0
94212,plastic-products-assemblers-finishers-and-inspectors,"Plastic products assemblers, finishers and inspectors",Occupations in manufacturing and utilities,9,4,On-the-job training,45572,21.91,17.77,30.0
94213,industrial-painters-coaters-and-metal-finishing-process-operators,"Industrial painters, coaters and metal finishing process operators",Occupations in manufacturing and utilities,9,4,On-the-job training,51188,24.61,18.0,36.0
94219,other-products-assemblers-finishers-and-inspectors,"Other products assemblers, finishers and inspectors",Occupations in manufacturing and utilities,9,4,On-the-job training,45822,22.03,17.0,34.0
95100,labourers-in-mineral-and-metal-processing,Labourers in mineral and metal processing,Occupations in manufacturing and utilities,9,5,Short work demonstration,52936,25.45,19.0,39.48
95101,labourers-in-metal-fabrication,Labourers in metal fabrication,Occupations in manufacturing and utilities,9,5,Short work demonstration,49920,24.0,18.5,32.5
95102,labourers-in-chemical-products-processing-and-utilities,Labourers in chemical products processing and utilities,Occupations in manufacturing and utilities,9,5,Short work demonstration,52000,25.0,18.25,38.53
95103,labourers-in-wood-pulp-and-paper-processing,"Labourers in wood, pulp and paper processing",Occupations in manufacturing and utilities,9,5,Short work demonstration,50190,24.13,18.0,33.95
95104,labourers-in-rubber-and-plastic-products-manufacturing,Labourers in rubber and plastic products manufacturing,Occupations in manufacturing and utilities,9,5,Short work demonstration,42536,20.45,16.0,28.0
95105,labourers-in-textile-processing-and-cutting,Labourers in textile processing and cutting,Occupations in manufacturing and utilities,9,5,Short work demonstration,38480,18.5,15.0,24.0
95106,labourers-in-food-and-beverage-processing,Labourers in food and beverage processing,Occupations in manufacturing and utilities,9,5,Short work demonstration,41600,20.0,16.5,25.67
95107,labourers-in-fish-and-seafood-processing,Labourers in fish and seafood processing,Occupations in manufacturing and utilities,9,5,Short work demonstration,37440,18.0,16.0,21.4
95109,other-labourers-in-processing-manufacturing-and-utilities,"Other labourers in processing, manufacturing and utilities",Occupations in manufacturing and utilities,9,5,Short work demonstration,41600,20.0,16.5,25.4
